Name,Total
F. Bachirou,245.0
T. Walcott,245.0
Rony Lopes,245.0
G. dos Santos,245.0
A. Younes,245.0
K. Noborizato,245.0
Mariano,245.0
R. Lewandowski,245.0
Amilton,245.0
J. Cuero,245.0
F. Ribéry,245.0
M. Wakaso,245.0
S. Grandsir,245.0
A. Lennon,245.0
Wu Lei,245.0
Gelson Dala,245.0
C. Fai,245.0
S. Delev,245.0
J. Fernández,245.0
B. Fernández,245.0
M. Rodríguez,245.0
G. Defrel,245.0
Alexandre Pato,245.0
D. Machís,245.0
J. Lukaku,245.0
S. Maguire,245.0
Josué Chiamulera,245.0
G. Haraguchi,245.0
O. Etebo,244.0
A. Szymanowski,244.0
M. Baku,244.0
Fredy,244.0
Y. Salibur,244.0
M. Götze,244.0
M. Meyer,244.0
Ademilson,244.0
N. Radonjić,244.0
Ricardo Horta,244.0
M. Dahoud,244.0
L. Marković,244.0
J. Savarino,244.0
V. Koziello,244.0
W. de la Rosa,244.0
O. Onazi,244.0
A. Polo,244.0
M. Valbuena,244.0
L. Advíncula,244.0
K. Diatta,244.0
Eder,244.0
W. Morelo,244.0
Alan Carvalho,244.0
Roberto Firmino,244.0
C. Jean,244.0
M. Zárate,244.0
B. McKay,244.0
Ivo Rodrigues,244.0
M. Makuszewski,244.0
V. Germain,244.0
Hélder Costa,244.0
S. Ghoddos,244.0
S. Plavšić,244.0
G. Letizia,244.0
M. Stoch,244.0
K. Kanga,244.0
Fernandinho,244.0
J. Obi,244.0
M. Sao,244.0
F. Mendy,244.0
S. Khelifi,244.0
R. Oshima,244.0
G. Torje,243.0
A. Oxlade-Chamberlain,243.0
R. Henry,243.0
Aridai,243.0
V. Salazar,243.0
E. Cavani,243.0
Gerard Valentín,243.0
M. Elyounoussi,243.0
L. Vibe,243.0
F. Jozefzoon,243.0
A. Elis,243.0
J. Hoilett,243.0
S. Adekoya,243.0
G. Mebrahtu,243.0
C. Embalo,243.0
Rafael,243.0
G. Lezcano,243.0
Y. Candelo,243.0
F. Delph,243.0
Héldon,243.0
A. Mabil,243.0
I. Perišić,243.0
T. Serero,243.0
N. Ampomah,243.0
D. Pabón,243.0
S. El Shaarawy,243.0
M. Lanzini,243.0
L. Goretzka,243.0
J. Kluivert,243.0
N. Müller,243.0
A. Ramos,243.0
M. Pereira,243.0
E. Boateng,243.0
J. Ananidze,243.0
T. Bongonda,243.0
R. Miyaichi,243.0
M. Sabitzer,243.0
Everticinho,243.0
B. Ndiaye,243.0
K. LuaLua,243.0
Romarinho,243.0
D. Malen,243.0
I. Anya,243.0
H. Ziyech,243.0
X. Schlager,243.0
A. Živković,243.0
A. Ndiaye Diedhiou,243.0
D. Laxalt,243.0
Fred,243.0
L. Torreira,243.0
M. Gradel,243.0
S. Muwashar,243.0
B. Sarmiento,243.0
Y. Kobayashi,243.0
C. Ejuke,243.0
Tiago Pinto,243.0
C. Immobile,242.0
Jonathan Pereira,242.0
F. Fabra,242.0
C. Eriksen,242.0
B. Verbič,242.0
F. Kostić,242.0
N. Schulz,242.0
D. Alaba,242.0
J. Ortiz,242.0
J. Windass,242.0
Carvajal,242.0
Pedro,242.0
Iago Falqué,242.0
J. Lens,242.0
Y. Ouattara,242.0
T. Savanier,242.0
Otávio,242.0
E. Rigoni,242.0
T. Leibold,242.0
F. Kainz,242.0
Francisco Geraldes,242.0
C. Bassogog,242.0
J. Lowe,242.0
S. Kagawa,242.0
Dalbert,242.0
C. Mosquera,242.0
Lucas Venuto,242.0
E. Barco,242.0
D. Gayle,242.0
G. Kakuta,242.0
Oscar,242.0
João Amaral,242.0
Simão Acunha,242.0
Bernat,242.0
G. Verón,242.0
F. Caputo,241.0
Hugo Vieira,241.0
R. Harakawa,241.0
David Ferreiro,241.0
A. Novikovas,241.0
G. Arabidze,241.0
R. Nainggolan,241.0
A. Hakimi,241.0
Fernández,241.0
A. Davies,241.0
D. Royer,241.0
D. John,241.0
J. Beausejour,241.0
E. Giaccherini,241.0
J. Keita,241.0
M. Gaćinović,241.0
J. Montero,241.0
Adama,241.0
J. Draxler,241.0
A. Golovin,241.0
Manuel Fernandes,241.0
A. Khormi,241.0
Welington Dano,241.0
V. Sarno,241.0
A. Kramarić,241.0
S. Boufal,241.0
F. Kamano,241.0
B. Mansilla,241.0
Go Yo Han,241.0
Denis Suárez,241.0
Y. Orozco,241.0
Alan Sousa,241.0
Morales,241.0
E. Puch,241.0
M. Verratti,241.0
R. Farfán,241.0
Alberto Moreno,241.0
A. Mena,241.0
Gabrielzinho,241.0
Lee Gwang Hyeok,241.0
M. Al Kuwaykibi,241.0
F. de Jong,241.0
C. Antwi-Adjej,241.0
J. Rodríguez,241.0
K. Miyoshi,241.0
L. Narsingh,241.0
M. Icardi,241.0
M. Moralez,241.0
R. Kent,241.0
G. Mackay-Steven,240.0
Vieirinha,240.0
Nolito,240.0
A. Carrillo,240.0
E. Sabbi,240.0
J. Cabot,240.0
K. Asamoah,240.0
N. Toko,240.0
F. Hansch,240.0
I. Piris,240.0
L. Abecasis,240.0
L. Díaz,240.0
K. Musona,240.0
Antoñito,240.0
J. Lucero,240.0
Suso Santana,240.0
F. Al Muwallad,240.0
A. Donis,240.0
A. Zeneli,240.0
J. Marriott,240.0
Iñigo Muñoz,240.0
Wendell,240.0
I. Kovács,240.0
M. Meza,240.0
M. Djenepo,240.0
J. Brandt,240.0
Alex Telles,240.0
H. Aiesh,240.0
Erick Gameira,240.0
C. Ciano,240.0
M. Antonio,240.0
Bruno Fernandes,240.0
O. Dramé,240.0
K. Nagai,240.0
Fábio Martins,240.0
D. Mattocks,240.0
M. Chirinos,240.0
Jairo,240.0
J. Paredes,240.0
T. Gjertsen,240.0
P. Schobesberger,240.0
José Arnáiz,240.0
N. Redmond,240.0
A. Hernández,240.0
R. Ibarra,240.0
C. McGregor,240.0
Pizzi,240.0
S. Hedlund,240.0
S. Gümüş,240.0
A. Robertson,240.0
E. Valencia,240.0
A. Silva,240.0
J. Ruiz,240.0
S. Kalu,240.0
E. Oztumer,240.0
G. Lovrencsics,240.0
V. Berisha,240.0
M. Acuña,239.0
B. Manu,239.0
I. Smolnikov,239.0
Nacho,239.0
M. Waris,239.0
Y. Belhanda,239.0
O. Elabdellaoui,239.0
R. Sessegnon,239.0
N. Nández,239.0
Aurélio Buta,239.0
A. Angulo,239.0
L. Boussaha,239.0
Raffael,239.0
Y. Erdoğan,239.0
N. Tagliafico,239.0
J. Karlsson,239.0
Rodri,239.0
T. Bradshaw,239.0
C. Cueva,239.0
A. Rosina,239.0
B. Caicedo,239.0
J. Campbell,239.0
E. Forsberg,239.0
Dani Nieto,239.0
J. Meram,239.0
D. Berardi,239.0
M. Koné,239.0
N. Sansone,239.0
Luis Alberto,239.0
A. Medina,239.0
H. Martín,239.0
Isco,239.0
M. Konaté,239.0
J. Holt,239.0
K. Bennett,239.0
Rubén Peña,239.0
S. Blanco,239.0
C. Pasquato,239.0
M. Kucharczyk,239.0
G. Wijnaldum,239.0
A. Masuaku,239.0
J. Dongou Tsafack,239.0
O. Hernández,239.0
E. Castillo,239.0
M. Lopez,239.0
M. Aaquist,239.0
S. Al Sawadi,239.0
Cyriac,239.0
Sergio Ramos,239.0
E. Zahavi,239.0
M. Zeman,239.0
E. Grezda,239.0
R. Haps,239.0
T. Müller,239.0
I. Vetokele,239.0
B. Urribarri,239.0
Diogo Figueiras,239.0
R. McKenzie,239.0
C. Fierro,239.0
N. Stefanelli,239.0
Richarlison,239.0
Pedro Santos,239.0
T. Svendsen,239.0
M. Vydra,239.0
K. Toko-Ekambi,239.0
F. Carrizo,239.0
K. Agard,239.0
M. Britos,239.0
P. Herrmann,239.0
A. Traoré,238.0
P. Zinckernagel,238.0
Dani Alves,238.0
S. Skrzybski,238.0
Juan Mata,238.0
S. Gakpé,238.0
Jorginho,238.0
N. Eliasson,238.0
D. van Mieghem,238.0
D. Dos Santos,238.0
Rubén García,238.0
K. Igboananike,238.0
A. Ayew,238.0
C. Fandrich,238.0
A. Ragusa,238.0
K. Barbarouses,238.0
C. Gamboa,238.0
Fernando Canesín,238.0
S. Mendoza,238.0
M. Vargas,238.0
J. Barrera,238.0
A. Potuk,238.0
D. Verde,238.0
C. Ünder,238.0
Kaku,238.0
A. Plea,238.0
R. Aguilar,238.0
S. Berghuis,238.0
D. Calabria,238.0
B. Osborn,238.0
M. Kvesić,238.0
M. Scozzarella,238.0
J. Meneses,238.0
F. Brandán,238.0
M. Carretta,238.0
O. Opazo,238.0
L. Zelarayán,238.0
A. Ounas,238.0
M. Isla,238.0
T. Ben Haim,238.0
A. Januzaj,238.0
Alex Berenguer,238.0
L. Melano,238.0
Lekue,238.0
N. Foor,238.0
Elkeson,238.0
S. Arias,238.0
C. Aboagye,238.0
Jhonnattann,238.0
Z. Junuzović,238.0
S. Hoskins,238.0
K. Lawrence,238.0
S. Camille,238.0
P. Ntep,238.0
Mário Fernandes,238.0
B. Merlini,238.0
A. Luna,238.0
H. Aouar,238.0
Y. de Lanlay,238.0
Mariano,238.0
M. Casco,237.0
A. Gray,237.0
G. Chakvetadze,237.0
S. Okazaki,237.0
A. Guardado,237.0
H. Bandé,237.0
Witi,237.0
J. Paterson,237.0
I. Gueye,237.0
K. Mbabu,237.0
H. Sacko,237.0
M. D'Alessandro,237.0
I. Ouali,237.0
Paulo Daineiro,237.0
R. Gómez,237.0
T. Pledl,237.0
M. Lestienne,237.0
Ever Sineiro,237.0
C. Benavente,237.0
K. Olsson,237.0
G. Gianniotas,237.0
P. van Aanholt,237.0
B. Carrasco,237.0
K. Appiah-Kubi,237.0
J. Riojas,237.0
F. Smolov,237.0
Dani Rochelinhas,237.0
N. Solís,237.0
A. Ljajić,237.0
V. Lazaro,237.0
J. Jones,237.0
C. Vela,237.0
M. Cornet,237.0
S. Ubilla,237.0
J. Aguirre,237.0
T. Nguen,237.0
F. Falco,237.0
J. Fuenzalida,237.0
K. Traoré,237.0
Clinton Mata,237.0
A. Armstrong,237.0
J. Roussillon,237.0
A. Diakhaby,237.0
D. Fagundez,237.0
Javi Jiménez,237.0
Ismaily,237.0
O. Abdulrahman,237.0
B. Sarr,237.0
L. Ocampos,237.0
A. Nandzik,237.0
Jony Reitosa,237.0
Jesé,237.0
S. Kroon,237.0
P. Zieliński,237.0
A. Dembélé,237.0
P. Cibicki,237.0
Iuri Medeiros,237.0
L. Melgarejo,237.0
M. Farrona Pulido,237.0
A. Lookman,237.0
J. Bryan,237.0
O. Ighalo,237.0
A. Knockaert,237.0
Gedson Fernandes,237.0
C. Mandanne,237.0
M. Coco,237.0
R. Fredericks,237.0
V. Tsygankov,237.0
R. Saravia,236.0
J. Allen,236.0
Vagnão Junior,236.0
B. Acosta,236.0
Ailton,236.0
M. Gavranović,236.0
M. Zaracho,236.0
D. Gonzo,236.0
C. Mayada,236.0
Y. Asprilla,236.0
K. Walker,236.0
F. Hinestroza,236.0
G. Toledo,236.0
M. Leckie,236.0
Ayoze Pérez,236.0
André Horta,236.0
Juanmi,236.0
D. Moreno,236.0
M. Linnes,236.0
Azpilicueta,236.0
G. Konan,236.0
R. Nouri,236.0
Nildo Petrolina,236.0
A. McGeady,236.0
Filipe Luís,236.0
I. Sosa,236.0
Kenedy,236.0
Brandon Thomas,236.0
A. González,236.0
A. Al Sulayhim,236.0
Sidcley,236.0
G. Lapadula,236.0
K. Grosicki,236.0
Hwang Il Soo,236.0
J. Hamad,236.0
K. Mrabti,236.0
T. Barkhuizen,236.0
Macarinho Louro,236.0
P. Sisto,236.0
S. Whalley,236.0
A. Valencia,236.0
C. Insaurralde,236.0
J. Sýkora,236.0
P. Cuadra,236.0
M. Mustacchio,236.0
M. Uth,236.0
D. Rossi,236.0
L. Martínez,236.0
Han Kyo Won,236.0
M. Sanson,236.0
T. Chancalay,236.0
S. Bergwijn,236.0
Ander Herrera,236.0
E. Manu,236.0
L. Memushaj,236.0
C. Songkrasin,236.0
L. Haraslín,236.0
L. Garritano,236.0
N. Hauptmann,236.0
J. Farfán,236.0
B. Gómez,236.0
S. Kaneko,236.0
S. Nicholson,236.0
R. Gall,236.0
K. Appiah,235.0
P. Strand,235.0
H. Mukhtar,235.0
S. Michel,235.0
C. Wilson,235.0
Tozé,235.0
F. Andone,235.0
Odriozola,235.0
J. Augustin,235.0
E. Hooi,235.0
B. Riveros,235.0
D. Opare,235.0
F. Viáfara,235.0
F. Orellana,235.0
R. Funes Mori,235.0
A. Ciciretti,235.0
M. Diouf,235.0
De Marcos,235.0
M. Doumbia,235.0
João Carvalho,235.0
M. Özil,235.0
Luis Pérez,235.0
V. Vukadinović,235.0
L. López,235.0
Iniesta,235.0
F. Picault,235.0
B. Sigurðarson,235.0
V. Černý,235.0
V. Ibarbo,235.0
Raúl Cámara,235.0
A. Cubas,235.0
G. Kerk,235.0
D. Accam,235.0
N. Dyer,235.0
J. Dudziak,235.0
A. Rabiot,235.0
Y. Yeboah,235.0
Susaeta,235.0
A. Masika,235.0
A. Mounier,235.0
A. Aseri,235.0
Dani Ceballos,235.0
Jailson Oliva,235.0
B. Pawłowski,235.0
T. Kanamori,235.0
T. Fosu,235.0
M. Saracchi,235.0
Luís Machado,235.0
M. Kovačić,235.0
João Victor,235.0
Santi Mina,235.0
J. Matoušek,235.0
Pedro Rocha,235.0
Y. Al Shahrani,235.0
J. Hofmann,235.0
J. Becerra,235.0
C. Robinson,235.0
Júnior Caiçara,235.0
T. Boyd,235.0
G. Acosta,235.0
J. Quintero,235.0
S. Ristovski,235.0
K. Benzema,235.0
Park Jin Po,235.0
A. Riel,235.0
J. Ginnelly,235.0
M. Cerato,235.0
M. Jensen,235.0
F. Müller,235.0
M. Davidson,235.0
Hu Yanqiang,235.0
A. Rebić,235.0
W. Saïd,235.0
Toño García,235.0
R. Borré,235.0
M. Johansson,235.0
Galeno,235.0
M. Møller Dæhli,235.0
B. Akintola,235.0
M. Estigarribia,235.0
V. Kadlec,235.0
Q. Cornette,235.0
N. Dicko,235.0
S. Lainer,234.0
C. Techera,234.0
L. Vangioni,234.0
D. Drexler,234.0
M. Morozyuk,234.0
R. Palacio,234.0
J. Ankersen,234.0
C. Borja,234.0
G. Sandoval,234.0
P. Armero,234.0
A. Wan-Bissaka,234.0
S. Andrist,234.0
T. Ince,234.0
T. Sana,234.0
Kim Seung Joon,234.0
E. Hysaj,234.0
R. Doan,234.0
A. Maxim,234.0
J. Hiwula,234.0
D. Pérez,234.0
Y. Atal,234.0
A. Traoré,234.0
L. Rodríguez,234.0
Sergio León,234.0
J. Hernández,234.0
M. Dembélé,234.0
Matheus Pereira,234.0
C. Acuña,234.0
J. Taylor,234.0
L. Kurzawa,234.0
M. Mak,234.0
T. Matlaba,234.0
F. Bustos,234.0
Bruno Tabata,234.0
A. Behich,234.0
M. Könnecke,234.0
R. Improta,234.0
L. Pasciuti,234.0
G. Bonaventura,234.0
Jorge,234.0
A. Tello,234.0
Y. Reyna,234.0
J. Buffarini,234.0
Rogerinho,234.0
O. Nguette,234.0
B. Çamoğlu,234.0
Tchê Tchê,234.0
F. Bartels,234.0
G. Higuaín,234.0
M. Oršić,234.0
S. Escudero,234.0
Vadillo,234.0
Omar Perdomo,234.0
C. Pain,234.0
P. Max,234.0
F. Gulbrandsen,234.0
L. Shaw,234.0
Y. Thermann,234.0
Camacho,234.0
D. Rodríguez,234.0
M. Odjer,234.0
A. Trebel,234.0
Bebeto,234.0
E. Salli,234.0
Leo Baptistao,234.0
Kalindi,234.0
D. Alli,234.0
N. Mazraoui,234.0
B. Ramselaar,234.0
B. Kadrii,234.0
F. Cartabia,234.0
F. Klaus,234.0
R. Yabo,234.0
E. Jelenič,234.0
K. Dolly,234.0
M. Lazzari,234.0
Lucas Evangelista,234.0
Marlion Simões,234.0
J. Torres,234.0
G. Donsah,234.0
C. Adams,234.0
Asdrúbal,234.0
R. Ligeon,234.0
J. Hayes,234.0
Rafael Leão,234.0
D. Brosinski,234.0
Angeliño,234.0
A. Young,234.0
N. Hult,234.0
Ivan Cavaleiro,234.0
B. Yılmaz,234.0
D. Croce,233.0
D. Türüç,233.0
J. Urretaviscaya,233.0
Y. Kubo,233.0
Mano,233.0
S. Tshabalala,233.0
E. Thommy,233.0
Y. Lawal,233.0
R. Pizarro,233.0
F. Di Francesco,233.0
J. Hernández,233.0
S. Zaza,233.0
T. Pukki,233.0
F. Ayité,233.0
L. Cueto,233.0
Nuno Pinto,233.0
Filipe Chaby,233.0
Nano,233.0
A. Piccolo,233.0
K. Laribi,233.0
Bismark,233.0
K. Havertz,233.0
S. Aurier,233.0
A. Ivan,233.0
L. da Silva Lopes,233.0
D. Wass,233.0
Bellvís,233.0
R. Rosales,233.0
L. Griffiths,233.0
J. Walker,233.0
Brugui,233.0
K. Manolas,233.0
Kwon Chang Hoon,233.0
K. Volland,233.0
Yuri Ribeiro,233.0
Moon Seon Min,233.0
M. Niang,233.0
D. Lainez,233.0
P. Frankowski,233.0
J. Valencia,233.0
A. Najar,233.0
A. Gogia,233.0
Pablo Maffeo,233.0
B. Henrichs,233.0
C. Ansaldi,233.0
Y. Asad,233.0
B. Angulo,233.0
Y. Rivera,233.0
Adriano,233.0
K. Redondo,233.0
L. Ceballos,233.0
N. Dovedan,233.0
L. Janson,233.0
Y. Mena,233.0
E. Ofori,233.0
Negueba,233.0
H. Mojica,233.0
A. Rusnák,233.0
L. Sinisterra,233.0
C. Lizarazo,233.0
A. Koita,233.0
C. Chaplin,233.0
C. Erkin,233.0
F. Palacios Martínez,233.0
I. Tajouri-Shradi,233.0
P. Rojas,233.0
T. Adams,233.0
O. Şahiner,233.0
Hervías,233.0
B. Dzsudzsák,233.0
O. Kefkir,233.0
C. Tolisso,233.0
Ángel,233.0
A. Bouzat,233.0
Adeilson Gesser,233.0
O. Wijndal,233.0
J. Clark,233.0
M. Pedersen,233.0
Carleto Costinha,233.0
S. Juklerød,233.0
Formosandrinho,233.0
Ricardo Esgaio,233.0
P. Mwene,233.0
Ibai Gómez,233.0
G. Schennikov,233.0
A. Belotti,233.0
F. Sambueza,233.0
Sebá,233.0
G. Gönül,233.0
J. Amon,233.0
K. Koussou,233.0
M. Hamšík,233.0
Y. Ōsako,233.0
Y. Poulsen,233.0
L. Comas,233.0
J. Mojica,233.0
K. Tsimikas,232.0
M. Braithwaite,232.0
Danilo Sacrio,232.0
S. Kurumaya,232.0
N. Atkinson,232.0
A. Koura,232.0
J. Otero,232.0
Saúl,232.0
T. Oar,232.0
H. Traoré,232.0
Rafinha,232.0
R. Ruidíaz,232.0
L. Castro,232.0
K. Kato,232.0
Anderson Talisca,232.0
Quique,232.0
D. Villalva,232.0
Claudiano Sobrino,232.0
Pablo Sarabia,232.0
G. Hein,232.0
T. Buhagiar,232.0
R. Quioto,232.0
T. Tekie,232.0
L. Balbi,232.0
Fábio Coentrão,232.0
K. Tierney,232.0
A. Schöpf,232.0
B. Fornaroli,232.0
J. Mauri,232.0
Rosberto Dourado,232.0
N. El Zhar,232.0
M. Nakamba,232.0
J. Maghoma,232.0
Renatinho,232.0
O. Özyakup,232.0
L. Andersen,232.0
P. Roberts,232.0
J. Rodríguez,232.0
L. Kleinheisler,232.0
S. Sam,232.0
A. Dzagoev,232.0
K. Kanak,232.0
Régis,232.0
L. Rodríguez,232.0
S. Al Dawsari,232.0
J. Guðmundsson,232.0
P. Huspek,232.0
A. Bussaglia,232.0
Y. Komai,232.0
R. Nelson,232.0
C. Aránguiz,232.0
D. Caligiuri,232.0
Edson Farias,232.0
M. Rojas,232.0
Gustavo Lobateiro,232.0
A. Barreca,232.0
Vitolo,232.0
P. Foden,232.0
S. Mladenovic,232.0
L. Slagveer,232.0
N. McGinn,232.0
M. Djuricin,232.0
D. Demme,232.0
Anderson Lopes,232.0
T. Sekine,232.0
S. McCartan,232.0
Paulinho,232.0
D. Cheryshev,232.0
B. Butko,232.0
J. Schlupp,232.0
A. Haidara,232.0
D. Holmes,232.0
Hulk,232.0
A. Regattin,232.0
T. Hernández,232.0
J. Jones,232.0
C. Hudson-Odoi,232.0
V. Buyalskyi,232.0
Romário,232.0
Marcos Guilherme,232.0
Y. Namli,232.0
K. Al Ghamdi,232.0
J. Seri,232.0
J. Larsen,232.0
Mi Haolun,232.0
S. Gürler,232.0
Adrián Maideira,232.0
E. Aguirre,232.0
Lee Sang Ho,232.0
V. Fischer,232.0
F. Borini,232.0
Y. Boli,232.0
Niltinho,231.0
J. Korb,231.0
J. Jankto,231.0
E. Chilufya,231.0
Y. Bolasie,231.0
